"","texts"
"4deagosto","deagosto hoy cacerolazo sólo chile democracia fondo plebiscitoahora giorgiojackson resuelve tocamos educación santiago día estudiantes represión jueves pacos estudiante estudiantazo deagosto cacerolazo chile derecho ahora represión estudiantes elquintopoder dictadura día hoy chilenos constitución violencia marcha gobierno pacíficamente apoyo video vamos deagosto carabinero hrs derecha quiere violentista ser arancel chile completo hacer barata debe detiene peligroso lacrimógena cristdiaz cacerolazos hace cacerolazo deagosto cacerolazo hoy gobierno estudiantes chile nueva estudiantil marcha protestas detenidos forma estudiante militaresalacalle represión gente gobernar paco educación ser chile estudiantes represión ciudadanooscar vivo gobierno deagosto personas piñera karenboisier educación chilenos piedras viendo mira apoyo http italia plaza mil deagosto cacerolazo chile mundial hoy educación twitter dia día nivel paz represión vamos temas estudiantes piñera figuran topic ñuñoa ver deagosto chile cacerolazo día ahora educación gobierno marcha vale lacrimógena curvaspoliticas militaresalacalle bomba lacrimógenas ver piñera lacrimogenas radio represión mundo deagosto estudiantes piñera chile cacerolazo educación día caer pinochet marcha cada chilenos gobierno dictadura mundo país puede mejor apoya hoy estudiantes cacerolazo chile marchas piñera policial gobierno fuerza estudiante temuco santiago atropellado dmanoucheri moneda plaza importante destrozos ustedes calle carro carabineros deagosto años mas foto niño detenido triste aprox vía via deagostocnn twitpic cacerolazo baradit represión httptwitpiccomzrsq manifestaciones vanessatr sebastianpinera"
"comisioneducacion","comisioneducacion comisióneducación canae comisióneducación comisioneducacion canae canae comisióneducación comisioneducacion comisióneducación comisioneducacion canae comisioneducacion canae comisióneducación comisioneducacion canae comisióneducación canae comisioneducacion comisióneducación comisióneducación comisioneducacion canae comisióneducación comisioneducacion canae comisioneducacion comisióneducación canae"
"CompendioCones","coneschile compendiocones difundir hoy propuestas ahora gobierno mañana presentaremos mineduc documento cones barros httptcotesnvkfh aún oficialmente todas difundiendo conferencia secundarios compendiocones chile movilizamos gob lea así demostrarle coneschile mañana beyer gobierno educación trabajo estudiantes secundarios fuerza cones aquí hará propuesta compendiocones secundarios propuestas demandas beyer coneschile borgoño hoy prensa mañana conferencia minutos educación personalmente lifeaschriss facultades colegios propuesta recibir cones coneschile compendiocones propuestas estudiantes secundarios trabajo educación demandas mañana cones aquí propuesta fuerza difundir gran mineduc hará hoy borgoño crissarabia compendiocones coneschile mañana hrs liceo hoy oficial presentar presentaremos facultades barros colegios borgoño lifeaschriss demandas oficialmente trabajo educación abarca movimiento httptcotesnvkfh vamos gente coneschile doc pregunte encuentre educación propuestas gobierno demandas beyer compendiocones difundiendo cones chile secundarios mañana compendio barros compendiocones conferencia mañana prensa coneschile barros borgoño hoy realizado aquí trabajo secundarios difundir presentar gran oficial cones hrs estudiantes mineduc compendiocones coneschile propuestas educación demandas hoy beyer borgoño educacion difundir barros difundiendo minutos hará oficialmente hrs httptcotesnvkfh estudiantes gobierno movimiento coneschile compendiocones estudiantes explicando borgoño educacion barros propuesta crissarabia propuestas cones leer colegios chile aún trabajo lifeaschriss facultades estudiantiles compendio compendiocones coneschile propuestas mañana estudiantes aún difundiendo todas fuerza mineduc explicando minutos compendio borgoño secundarios colegios propuesta movilizamos barros difundir"
"educacionpublicaahora","manifiesto firma educacionpublicaahora chile crees merece camilavallejo igual alumnos oportunidad escuelas selección expulsión merecen prácticas pública educación queremos httptco educacion educaciónpúblicaahora miles firme súmate karentvn todavía hacer queda quiere exijamos creo invito marcoporchile firmó giorgiojackson httptcoaubxuwr firmemos solución educacion quieren http sólo chile educacion lafundacionsol educ estudiantes parte leer firmando giorgiojackson aprendan fundamental diversidad respetar escuelas excelencia diferencia httptcorcxhmaza movilh calidad educacion educación gratuita segregación derecho social educaciónpublicaahora chilena solución dramática garantizar deber indignadoschile tener constitucional ser inclusiva escolar usted educaciónpúblicaahora educacion chile queremos necesita mwaissbluth mira mejor video columna httptcorpkbewx escuela excusas inclusivo manueeeel sino presupuesto mejorar momento educaciónpú firmas mil educacion necesitamos difunde parral reconstruccionliceoparral ahoraeducaciónpúblicaahora hoy día ciudadanos autoridades punto maule región llegar ayúdanos buenos mañana días educacion campaña chilenos ahora gracias apoyo acá puntos firmado acuerdo firmen feuc quieren jóvenes puede httptco mas matiasreeves buena unan educacionpublicaahora educacion firma aquí vía twibbon via ilustradores pon avatar firme cómo firmé excusas vamos feuc ahora mas campaña fondo firmar país educacion chile firma edu apoyemos twitter educativos proyectos responsable colegios debe bien httptcobaarxay intereses garantizar discriminen reinaldolope fin educación pública educacion rdemocratica fondo gmunozstuardo explicamos desfinanciada cómo httptcopianong lucro chile mira educacionpublicaahora educaciónpublicaahora apoyo ilustradores educaciónpúblicaahora presupuesto usted"
"EducaciónPúblicaGratuitaYDeCalidad","hoy descabellada exigencia educaciónpublicagratuitaydecalidad puñado marcharon miguelgaraym educaciónpúblicagratuitaydecalidad mil educacionpublicagratuitaydecalidad descabellada exigencia marcharon puñado educaciónpublicagratuitaydecalidad mil hoy miguelgaraym educaciónpúblicagratuitaydecalidad educacionpublicagratuitaydecalidad educaciónpublicagratuitaydecalidad educacionpublicagratuitaydecalidad miguelgaraym hoy marcharon mil educaciónpúblicagratuitaydecalidad exigencia puñado descabellada educaciónpúblicagratuitaydecalidad educaciónpublicagratuitaydecalidad miguelgaraym educacionpublicagratuitaydecalidad hoy descabellada mil marcharon exigencia puñado mil descabellada exigencia puñado educaciónpublicagratuitaydecalidad miguelgaraym hoy marcharon educaciónpúblicagratuitaydecalidad educacionpublicagratuitaydecalidad educaciónpublicagratuitaydecalidad educaciónpúblicagratuitaydecalidad mil marcharon puñado miguelgaraym descabellada hoy exigencia educacionpublicagratuitaydecalidad educaciónpúblicagratuitaydecalidad educaciónpublicagratuitaydecalidad miguelgaraym educacionpublicagratuitaydecalidad marcharon mil puñado hoy descabellada exigencia hoy miguelgaraym mil exigencia puñado educaciónpúblicagratuitaydecalidad marcharon descabellada educacionpublicagratuitaydecalidad educaciónpublicagratuitaydecalidad educaciónpúblicagratuitaydecalidad hoy educaciónpublicagratuitaydecalidad miguelgaraym educacionpublicagratuitaydecalidad puñado marcharon exigencia mil descabellada educaciónpúblicagratuitaydecalidad educacionpublicagratuitaydecalidad educaciónpublicagratuitaydecalidad hoy miguelgaraym mil marcharon descabellada puñado exigencia"
"FuerzaEstudiantes","fuerzaestudiantes chile estudiantes educación tomas calidad hexagram hoy estudiantiles izquierdatuit marchan pública gratuita gratis indignadoschile huelga hambre pacosculiaos centros fuerzaliceocervantes fuerzaestudiantes toma liceo estudiantes coneschile san cervantes suiza confederación educación miguel salas industrial fernando chile moisesparedesr izquierdatuit marcha mañana imposición cacerolazo fuerzaestudiantes yoapoyoalosestudiantes hrs agosto lafech hinzpeter fuerzaest mejor todas italia plaza mandó ganó montaje fuerzaestud plazaitaliastgo esquinas barrios micros lucha piñera asambleaconstituyente calle mariseka ver beyer vacuna cuartaurna deoctubre cabros ser movimientoestudiantil fuerzaestudiantes terminar educ plaza salida salga país fuerzaestudiantes estudiantes mas nunca fuerza hoy calles marcha izquierdatuit represión ahora país estudiantil movimiento sólo frannajoes educación gob plaza yomarchoel fuerzaestudiantes gobierno carabineros marcha colegios bien mas alcaldes mal habla estudiantes dentro parezca mone claro twitter movimiento hecho desalojos represión fuerzaestudiantes chile gabrielboric casa universidad estudiantes hectormorals central aprobación fuerzaestudi carreras quórum ratifica mejor centra alumnos educación piden chadwick desordenados fuerzaestudiantes vamos estudiantes educación secundarios izquierdatuit compañeros fuerzae hace hoy camilavallejo nacional voz empeño ponerle intiillimani van gente basta año fuerzaestudiantes estudiantes marcha hoy educación nacional quedamenos intiillimani carmela represión carvajal solo chile mayoría movimiento apoyo apoyando mañana así pacos fuerzaestudiantes yoapoyoalosestudiantes estudiantes fuerzachile ahora marchar educación clase apoye izquierdatuit pueblo intihistorico diegoureyes sala aprendiendo pacos yomarchoel fuerzamapuches fuerzasecundarios fuerzafreirina"
"Latinoamericaporlaeducacion","latinoaméricaporlaeducación marcha bolívar hoy latinoamericaporlaeducación viva plaza lucha estudiantil transmisión nacional latinoamericaporlaeducacion manecolombia directo popayán httptcojzevcj colombia marchar latinoamerica colombianos latinoamericaporlaeducacion educación latinoamericaporlaeducación mañana manecolombia estudiantes eltiempo marcha calles estudiantil hoy latinoamericanos derecho latinoaméricaporlaeducación marchar latinoamérica nov latinoamerica plaza calleoficial latinoamericaporlaeducacion latinoaméricaporlaeducación estudiantes manecolombia latinoamericaporlaeducación bogotá plaza noticiascaracol país marchan movilización colombianos marcha wallysocial educación estudiantil derecho marchas calles latinoamerica latinoaméricaporlaeducación manecolombia educación latinoamericaporlaeducacion bogotá colombia estudiantes hoy latinoamericaporlaeducación twitter continental calles calidad bolívar eltiempo gran algotipico transmisión jornada marchando marcha latinoaméricaporlaeducación lucha mañana estudiantes camina américa chile hoy latina latinoamerica latinoamericaporlaeducacion latinoamericaporlaeducación colombianos educacion gran calle httptcoqasuyidt unicauca pueblo latinoaméricaporlaeducación continental usar jornada seguir etiqueta informar invitamos estudiantes latinoamericaporlaeducacion manecolombia vía latinoamericaporlaeducacionnov marcha wallysocial plaza video calles colombia latinoamericaporlaeducación latinoaméricaporlaeducación latinoamericaporlaeducacion manecolombia estudiantes marcha educación calleoficial chile indignateco latinoamericaporlaeducación nov plaza marchar estudiantil marchas eltiempo marchando mañana live ocecolombia educación colombia calidad latinoaméricaporlaeducación gratuita marcha chile estudiantes pública mas latinoamericaporlaeducacion colombianos continente eltiempo estudiantil transmisión lucha anonymousco calleoficial indignateco latinoamericaporlaeducacion marcha latinoamericaporlaeducación mañana vamos hoy estudiantes calles latinoaméricaporlaeducación plaza jorge colombia derecho httptcocsgpnipb toda calle velosa educación doctorkrapula izquierdatuit latinoaméricaporlaeducación indignateco latinoamericaporlaeducacion educación marcha live manecolombia anonymousco unicauca plaza bogotá vivo algotipico httptcoqasuyidt estudiantil estudiantes pueblo latinoamericaporlaeducación mañana latina"
"marchadelosparaguas","marchadelosparaguas llueva pueblo marchan levanta piñera cueva seba migd moneda estudiantes hoy eduarriagadal azzafran marchade diario portada camilavallejo lluvia alemán marchadelosparaguas educación marcha estudiantes hoy chile deagosto miles lluvia gobierno ohiggins parque sentidoscomunes mejor piñera hace chilenos tvsenado cabros lucro marchadelosparaguas estudiantes paraguas puede fuerza domingo educación marcha convicción seguimos verde llover pacoinfiltrado nevar llevaba patopimienta descubren vez elquintopoder ver marchadelosparaguas carabineros estudiantes intiillimani marcha chile hoy clases igual encapuchados siguen dando controlar grupo gran mejor gracias viene logran loco marchadelosparaguas ahora agua dice marchaestudiantil tvnmauricio lienzo multiplicamos gremlins estudiantes lluvia nieve mejor educación hoy gobierno encapuchados mañana vez marcha marchadelosparaguas estudiantes encapuchados lluvia educación paraguas soumastre mil personas felix shosho javierasuarez deagosto elquintopoder ver vivo gobierno marcha piñera vamos marchadelosparaguas lluvia hoy marcha estudiantil deagosto movimiento live chile horastvn vivo termina humano mil marchantes escudo frío personas contuvieron encapuchados marchadelosparaguas encapuchados día estudiantes pega giorgiojackson marchadelospar hicieron último dormir nota lluvia apoderados marcha trabajadores alta nieve video live bajo marchadelosparaguas nieve publimetrochile chile santiago desmanes cadena live estudiantes humana lluvia hoy vallejo gran camila foto así cacerolazo encapuchados mil marchadelosparaguas estudiantes chile lluvia live gran mañana mas mil nieve ejemplo grande asistentes educacion marcha gente futuro cabros convocatoria frío"
"movimientoestudiantil","estudiantes gobierno monagas anak hectorcaldera puede maturin cne sede años democracia ues ademocratica quiero secuestrados parque chileno estatales httpt arrogancia movimientoestudiantil chile educación fuerza país calle mejor debe hacer piñera chavez cara calidad cada calles paronacional represión quiere excelente chávez movimientoestudiantil estudiantil dice sintransar mov redes sociales elcaarlooz hagamos monitoreo año debilita personas crecer hagamoslo globovision ciudadano menos deoctubre uach mañana movimiento asamblea gran camilavallejo toma lunes san colegio nunca todas alexvzlalibre correcto leyes injustas ratifica universidades nadie estudiantil vivo movimientoestudiantil mas vamos matreraenpie uguelo educacion derechos saber siempre unidos apoya presidente foto constitución respeta libertad carabineros aguante estudiar viva movimientoestudiantil lucha ser universidad paro bien apoyar llegar triunfo queremos terminar toman beyer salida tema continúa mariseka debería lucrofuerzaestudiantes meses hoy movimientoestudiantil vzlaestudiante nacional twitazo via confech favor difundir dirigentes viene movi vprimero parte nueva juventud udi mientras patria ahí movimientoestudiantil marcha hcapriles plaza movilizatechile gracias hrs día hacia seguir sigue italia operaciónsoberania domingo futuro adonaihdez marchafamiliar voz petición recibir movimientoestudiantil venezuela operacionsoberania estudiante operaciónsoberanía verdad urgente castellana herida hace gente ver toda movilizatecl así hacen elecciones dando flaconauta protesta movimientoestudiantil apoyo ahora violencia video marchas solo jóvenes vía lucro danielcastell quieren apoyando debate jueves voy participaron clases luchar chilenos"
"noleyhinzpeter","noleyhinzpeter amnistiachile firma hoy ley ahora http fuerahinzpeter campaña comisión chile asambleaconstituyente decir vía httptcoykaenyt hinzpeter acción derecho podría actos firmar yonovotexel hinzpeter httptcopzkpz firmen firma firme ley tiempo aún amnistiachile noleyhinzpeter acá vota decir comisión así firmas hoy aquí noleyhinzpeter ley hinzpeter firma vía firmas manifestarse derecho ddhh diciendo chile libertad derechos fuerahinzpeter acción hoy httptcodwwvqjkz aquí mañana calles noleyhinzpeter amnistiachile httptcodwwvqjkz firmaste hazlo chile firma firmado decir firmas ley diciendo hinzpeter mañana libertad comisión así acciondeongs hoy http ley hinzpeter vota noleyhinzpeter comisión ddhh campaña calles ahora asambleaconstituyente fuerahinzpeter hoy firmar diciendo puede acá vía acciondeongs decimos firma noleyhinzpeter amnistiachile firma expresión ley ahora hinzpeter libertad httptcoykaenyt hoy derechos http campaña puede aquí podría firmas chile acción calles firma ahora diciendo difunde semana amnistiachile sala necesitamos ejercicio actos ley noleyhinzpeter derechos votación hinzpeter ddhh firmas http chile comisión noleyhinzpeter hinzpeter ley derechos humanos puede hoy ddhh asambleaconstituyente fuerahinzpeter firma aquí expresión acá decimos chile así derecho comisión firmas noleyhinzpeter firmas plaza armas recolectando jueves amnistiachile decir hinzpeter seguimos httpt hrs mañana ley ddhh chile derecho acciondeongs ahora diciendo amnistiachile noleyhinzpeter hinzpeter aquí puede decir decimos expresión hoy libertad acciondeongs chile httpt ley diciendo asambleaconstituyente http ddhh hrs acá"
