"","source","target","proportion.reply","proportion.mention","proportion.retweet"
"1","celebrity","celebrity","0.24","0.13","0.14"
"2","celebrity","movs","0.027","0.019","0.15"
"3","celebrity","orgs","0","0","0.0038"
"4","celebrity","leaders","0.08","0.1","0.069"
"5","celebrity","media","0.053","0.075","0.088"
"6","celebrity","people","0.6","0.67","0.55"
"7","movs","celebrity","0.018","0.02","0.016"
"8","movs","movs","0.12","0.28","0.44"
"9","movs","orgs","0","0.0051","0.0042"
"10","movs","leaders","0.16","0.22","0.04"
"11","movs","media","0.033","0.051","0.039"
"12","movs","people","0.67","0.42","0.46"
"13","orgs","celebrity","0.36","0.043","0.011"
"14","orgs","movs","0.091","0.24","0.32"
"15","orgs","orgs","0","0.076","0.0053"
"16","orgs","leaders","0.091","0.2","0.14"
"17","orgs","media","0.091","0.054","0.037"
"18","orgs","people","0.36","0.39","0.48"
"19","leaders","celebrity","0.032","0.043","0.023"
"20","leaders","movs","0.16","0.094","0.37"
"21","leaders","orgs","0.065","0.1","0.018"
"22","leaders","leaders","0.26","0.38","0.11"
"23","leaders","media","0.032","0.06","0.054"
"24","leaders","people","0.45","0.32","0.42"
"25","media","celebrity","0.25","0.0072","0.018"
"26","media","movs","0.12","0.1","0.38"
"27","media","orgs","0","0","0.0073"
"28","media","leaders","0.12","0.16","0.059"
"29","media","media","0.12","0.24","0.092"
"30","media","people","0.38","0.5","0.45"
"31","people","celebrity","0.1","0.083","0.089"
"32","people","movs","0.14","0.18","0.2"
"33","people","orgs","0.0036","0.018","0.0063"
"34","people","leaders","0.092","0.067","0.07"
"35","people","media","0.088","0.12","0.1"
"36","people","people","0.58","0.54","0.53"
