"","source","target","reply","mention","retweet","total"
"1","celebrity","celebrity",18,14,36,68
"2","celebrity","movs",2,2,40,44
"3","celebrity","orgs",0,0,1,1
"4","celebrity","leaders",6,11,18,35
"5","celebrity","media",4,8,23,35
"6","celebrity","people",45,71,143,259
"7","movs","celebrity",6,12,30,48
"8","movs","movs",40,167,833,1040
"9","movs","orgs",0,3,8,11
"10","movs","leaders",52,127,76,255
"11","movs","media",11,30,74,115
"12","movs","people",220,249,870,1339
"13","orgs","celebrity",4,4,4,12
"14","orgs","movs",1,22,122,145
"15","orgs","orgs",0,7,2,9
"16","orgs","leaders",1,18,55,74
"17","orgs","media",1,5,14,20
"18","orgs","people",4,36,183,223
"19","leaders","celebrity",1,5,10,16
"20","leaders","movs",5,11,165,181
"21","leaders","orgs",2,12,8,22
"22","leaders","leaders",8,44,49,101
"23","leaders","media",1,7,24,32
"24","leaders","people",14,38,188,240
"25","media","celebrity",2,1,5,8
"26","media","movs",1,14,103,118
"27","media","orgs",0,0,2,2
"28","media","leaders",1,22,16,39
"29","media","media",1,33,25,59
"30","media","people",3,69,122,194
"31","people","celebrity",251,655,4824,5730
"32","people","movs",340,1414,10982,12736
"33","people","orgs",9,143,341,493
"34","people","leaders",230,526,3770,4526
"35","people","media",219,915,5568,6702
"36","people","people",1441,4244,28513,34198
