"","indegree","outdegree","hub","authority","clusterCoefficient","page.rank"
"leaders",0.019,0.057,0.046,0.002,0.006,0.048
"orgs",0.098,0.047,0.03,0.063,0.001,0.157
"people",0,0.011,0.006,0,0.025,0
"media",0,0.01,0.001,0,0,0
"movs",0.057,0.039,0.033,0.092,0.026,0.05
"celebrities",0,0.009,0.004,0,0.004,0
"leaders1",0.019,0.057,0.046,0.002,0.006,0.048
"orgs1",0.098,0.047,0.03,0.063,0.001,0.157
"people1",0,0.011,0.006,0,0.025,0
"media1",0,0.01,0.001,0,0,0
"movs1",0.057,0.039,0.033,0.092,0.026,0.05
"celebrities1",0,0.009,0.004,0,0.004,0
"leaders2",0.026,0.048,0.02,0.025,0.01,0.028
"orgs2",0.006,0.04,0.013,0.007,0.016,0.014
"people2",0,0.002,0.003,0,0.108,0
"media2",0,0.015,0.019,0,0.041,0
"movs2",0.005,0.048,0.045,0.009,0.084,0.016
"celebrities2",0,0.012,0.015,0,0.129,0
"leaders3",0.034,0.076,0.003,0.005,0.011,0.041
"orgs3",0.015,0.049,0.002,0.006,0.046,0.023
"people3",0,0.001,0,0,0.139,0
"media3",0,0.012,0.001,0,0.198,0
"movs3",0.012,0.065,0.014,0.011,0.107,0.018
"celebrities3",0,0.009,0.001,0,0.14,0
"leaders4",0.031,0.055,0.001,0.002,0.017,0.035
"orgs4",0.007,0.02,0,0.001,0.065,0.007
"people4",0,0.001,0,0,0.16,0
"media4",0,0.007,0,0,0.138,0
"movs4",0.009,0.036,0.007,0.007,0.122,0.01
"celebrities4",0,0.006,0,0,0.189,0
